id,cryptocurrency,amount,exit_price,total_value,executed_at,original_purchase_amount,original_purchase_price,original_purchase_value,exit_value,realized_pnl,realized_pnl_pct,execution_mode,strategy_trigger,notes
1df861b4-390f-474b-90d0-98908ec33992,ADA,1807.22891566,0.33630000,607.77,2026-01-13 05:46:56.582+00,1807.22891566,0.33000000,600.00,614.46,14.46,2.41,COINBASE,direct_intelligent|req:req_1768283213998_f6yi5l7wg|lot:826ae138,Direct path: UD=OFF - Per-lot SELL [4/8]
7894ce03-be6e-407a-81bb-1d317137ad0d,ADA,1813.23662738,0.33630000,609.79,2026-01-13 05:46:56.582+00,1813.23662738,0.33000000,600.00,616.50,16.50,2.75,COINBASE,direct_intelligent|req:req_1768283213998_f6yi5l7wg|lot:c6a4aaad,Direct path: UD=OFF - Per-lot SELL [3/8]
d95feb4f-2d68-43fa-afd4-3d3f73a77a1d,ADA,1803.96873121,0.33630000,606.67,2026-01-13 05:46:56.582+00,1803.96873121,0.33000000,600.00,613.35,13.35,2.23,COINBASE,direct_intelligent|req:req_1768283213998_f6yi5l7wg|lot:7f7da771,Direct path: UD=OFF - Per-lot SELL [1/8]
328c09ea-4522-49c1-9772-8fe5d29634b7,ETH,0.22626311,2681.79000000,606.79,2026-01-13 05:57:43.139+00,0.22626311,2651.78000000,600.00,606.79,6.79,1.13,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:48cd7d33,Direct path: UD=OFF - Per-lot SELL [1/9]
e43ee52d-7c75-40f2-9f4f-37fbf8d55bc9,ETH,0.22336719,2681.79000000,599.02,2026-01-13 05:57:43.139+00,0.22336719,2686.16000000,600.00,599.02,-0.98,-0.16,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:cb435898,Direct path: UD=OFF - Per-lot SELL [9/9]
aea50996-e795-44ef-8075-b113cec912a3,ETH,0.22289918,2681.79000000,597.77,2026-01-13 05:57:43.139+00,0.22289918,2691.80000000,600.00,597.77,-2.23,-0.37,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:16293146,Direct path: UD=OFF - Per-lot SELL [8/9]
91bc7d1c-bb72-4d40-a200-4b1ebd31ce8b,ETH,0.22452653,2681.79000000,602.13,2026-01-13 05:57:43.139+00,0.22452653,2672.29000000,600.00,602.13,2.13,0.36,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:104a5a34,Direct path: UD=OFF - Per-lot SELL [7/9]
8eefad70-eebc-410d-80f7-27f7432891f4,ETH,0.22448537,2681.79000000,602.02,2026-01-13 05:57:43.139+00,0.22448537,2672.78000000,600.00,602.02,2.02,0.34,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:f25f7d7b,Direct path: UD=OFF - Per-lot SELL [6/9]
1da0fffb-7098-40d7-90c3-8c584e3323dd,ETH,0.22575317,2681.79000000,605.42,2026-01-13 05:57:43.139+00,0.22575317,2657.77000000,600.00,605.42,5.42,0.90,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:d37b97dc,Direct path: UD=OFF - Per-lot SELL [5/9]
a4bba9c3-1b2d-41a4-bf7f-58bbfa2b8501,ETH,0.22536566,2681.79000000,604.38,2026-01-13 05:57:43.139+00,0.22536566,2662.34000000,600.00,604.38,4.38,0.73,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:1b1175ef,Direct path: UD=OFF - Per-lot SELL [4/9]
d37767b6-342c-449f-b52b-a15097089724,ETH,0.22642449,2681.79000000,607.22,2026-01-13 05:57:43.139+00,0.22642449,2649.89000000,600.00,607.22,7.22,1.20,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:7e51da16,Direct path: UD=OFF - Per-lot SELL [3/9]
2ff98770-5ba7-4950-8d8c-c2cd48190a82,ETH,0.22633908,2681.79000000,606.99,2026-01-13 05:57:43.139+00,0.22633908,2650.89000000,600.00,606.99,6.99,1.17,COINBASE,direct_intelligent|req:req_1768283861171_vmol9n7a3|lot:1d1b846e,Direct path: UD=OFF - Per-lot SELL [2/9]
542f4486-fad9-4e3b-9d26-d58e7c7ba4a5,XRP,340.67681127,1.76890000,602.62,2026-01-13 05:57:48.222+00,340.67681127,1.76000000,600.00,603.00,3.00,0.50,COINBASE,direct_intelligent|req:req_1768283866582_tk2ltoxzc|lot:19ecfedf,Direct path: UD=OFF - Per-lot SELL [1/7]
522e27c9-8b5d-4c8e-b257-ca663d494e17,XRP,338.73426297,1.76890000,599.19,2026-01-13 05:57:48.222+00,338.73426297,1.77000000,600.00,599.56,-0.44,-0.07,COINBASE,direct_intelligent|req:req_1768283866582_tk2ltoxzc|lot:1242c1fe,Direct path: UD=OFF - Per-lot SELL [7/7]
4ca4f161-10c0-40bb-b9d3-a8282ad9f873,XRP,337.55274262,1.76890000,597.10,2026-01-13 05:57:48.222+00,337.55274262,1.78000000,600.00,597.47,-2.53,-0.42,COINBASE,direct_intelligent|req:req_1768283866582_tk2ltoxzc|lot:f60b2ded,Direct path: UD=OFF - Per-lot SELL [6/7]
87b0e0ff-7266-496d-97b8-86c80476f519,XRP,341.25810488,1.76890000,603.65,2026-01-13 05:57:48.222+00,341.25810488,1.76000000,600.00,604.03,4.03,0.67,COINBASE,direct_intelligent|req:req_1768283866582_tk2ltoxzc|lot:bcad463c,Direct path: UD=OFF - Per-lot SELL [5/7]
502939bf-60ad-4384-abbb-a66d4c920cc9,XRP,341.43287999,1.76890000,603.96,2026-01-13 05:57:48.222+00,341.43287999,1.76000000,600.00,604.34,4.34,0.72,COINBASE,direct_intelligent|req:req_1768283866582_tk2ltoxzc|lot:a8b0d5e4,Direct path: UD=OFF - Per-lot SELL [4/7]
d51f39cb-12da-4240-b40b-9debf26d5c43,XRP,341.21929026,1.76890000,603.58,2026-01-13 05:57:48.222+00,341.21929026,1.76000000,600.00,603.96,3.96,0.66,COINBASE,direct_intelligent|req:req_1768283866582_tk2ltoxzc|lot:ae6b3a94,Direct path: UD=OFF - Per-lot SELL [3/7]
9418752a-1d08-403f-8528-218e79d5c257,XRP,340.05894355,1.76890000,601.53,2026-01-13 05:57:48.222+00,340.05894355,1.76000000,600.00,601.90,1.90,0.32,COINBASE,direct_intelligent|req:req_1768283866582_tk2ltoxzc|lot:e0381f3b,Direct path: UD=OFF - Per-lot SELL [2/7]
23e695ec-f2ed-4450-a7f0-97f8d1ad8797,BTC,0.00761905,78971.17000000,601.69,2026-01-13 06:42:05.458+00,0.00761905,78749.98000000,600.00,601.69,1.69,0.28,COINBASE,direct_intelligent|req:req_1768286522394_tqglaqgrb|lot:544ed797,Direct path: UD=OFF - Per-lot SELL [2/2]
a4a3e60a-c34a-4927-a6e6-1e298edcd406,BTC,0.00761541,78971.17000000,601.40,2026-01-13 06:42:05.458+00,0.00761541,78787.62000000,600.00,601.40,1.40,0.23,COINBASE,direct_intelligent|req:req_1768286522394_tqglaqgrb|lot:3075db00,Direct path: UD=OFF - Per-lot SELL [1/2]
ab1bebcf-b3b8-482d-968a-d77aef94f4e0,AVAX,50.97706032,11.73000000,597.96,2026-01-13 07:35:14.154+00,50.97706032,11.77000000,600.00,597.96,-2.04,-0.34,COINBASE,direct_intelligent|req:req_1768289711643_jl5t9xkw8|lot:a47f461e,Direct path: UD=OFF - Per-lot SELL [1/4]
854dffc9-2428-4081-81d4-91230ac58ae1,AVAX,51.02040816,11.73000000,598.47,2026-01-13 07:35:14.154+00,51.02040816,11.76000000,600.00,598.47,-1.53,-0.26,COINBASE,direct_intelligent|req:req_1768289711643_jl5t9xkw8|lot:2f699859,Direct path: UD=OFF - Per-lot SELL [3/4]
df3fddd0-cf44-4e3b-ac02-7b3c5dabe0e6,AVAX,50.89058524,11.73000000,596.95,2026-01-13 07:35:14.154+00,50.89058524,11.79000000,600.00,596.95,-3.05,-0.51,COINBASE,direct_intelligent|req:req_1768289711643_jl5t9xkw8|lot:66173a1c,Direct path: UD=OFF - Per-lot SELL [2/4]
41be6b11-e6aa-4ea9-a866-fd362a4030aa,AVAX,50.93378608,11.73000000,597.45,2026-01-13 07:35:14.154+00,50.93378608,11.78000000,600.00,597.45,-2.55,-0.43,COINBASE,direct_intelligent|req:req_1768289711643_jl5t9xkw8|lot:f98ff05a,Direct path: UD=OFF - Per-lot SELL [4/4]
5dcd75ae-eeaf-4473-bd07-c179c90cb08d,ADA,1786.24590652,0.33420000,596.87,2026-01-13 07:50:30.588+00,1786.24590652,0.34000000,600.00,589.46,-10.54,-1.76,COINBASE,direct_intelligent|req:req_1768290626759_ykjxy3zf0|lot:8287ce2f,Direct path: UD=OFF - Per-lot SELL [1/2]
1796.94519317,ADA,0.33420000,600.50,2026-01-13 10:49:52.198+00,1796.94519317,0.33000000,600.00,610.98,10.98,1.83,COINBASE,direct_intelligent|req:req_1768301390895_47ek68zm5|lot:0d9fe3e8,Direct path: UD=OFF - Per-lot SELL [1/7]
